,full name,state,Same State Loan Office,Different State Loan Office,State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SLD Total,PC Total
0,"[""Bernard O'Neill""]",MD,"[""Bernard O'Neill""]",,,,230.31,118.85973000000001,0.0,0.0,0.0
1,"[""Francis O'Neill""]",MD,"[""Francis O'Neill""]",['Francis O Neill'],,,37.96,17.5,151.5125,0.0,0.0
2,"[""Henry O'Neale""]",MD,,,,"[""Henry O'Neal""]",99.77,0.0,0.0,0.0,23.0
3,"[""James O'Hara""]",PA,,,,,33.44,0.0,0.0,0.0,0.0
4,"[""John D'Mercier""]",NY,,,,,0.0,0.0,0.0,0.0,0.0
5,"[""John O'Connor""]",PA,,,['John Connor'],['John Connor'],2602.17,0.0,0.0,9.511111111111111,124.3
6,['A McWhoker'],NY,,,,,340.7,0.0,0.0,0.0,0.0
7,['Aarent Schuyler'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
8,['Aaron Bourn'],RI,,,,,309.55,0.0,0.0,0.0,0.0
9,['Aaron Bull'],CT,,,['Aaron Bull'],['Aaron Bull'],91.96,0.0,0.0,35.022222222222226,2548.56
10,['Aaron Cadwell II'],CT,,,,,13.88,0.0,0.0,0.0,0.0
11,['Aaron Colvin'],RI,,,,,79.05,0.0,0.0,0.0,0.0
12,['Aaron D Woodruff'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
13,['Aaron Forbes'],CT,,,,,9230.0,0.0,0.0,0.0,0.0
14,['Aaron Hill'],NH,,,,,566.17,0.0,0.0,0.0,0.0
15,['Aaron Howell'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
16,['Aaron Kelsey'],CT,['Aaron Kelsey'],,,,95.1,95.10834,0.0,0.0,0.0
17,['Aaron Kitchel'],PA,,,,,276.0,0.0,0.0,0.0,0.0
18,['Aaron Loocock'],SC,,,,,1700.0,0.0,0.0,0.0,0.0
19,['Aaron Malich'],PA,,,,,282.21,0.0,0.0,0.0,0.0
20,['Aaron Mason'],RI,,,,,169.97,0.0,0.0,0.0,0.0
21,['Aaron Milich'],NY,,,,,0.0,0.0,0.0,0.0,0.0
22,['Aaron Ogden'],NJ,,['Aaron Ogden'],,,0.0,0.0,0.0,0.0,0.0
23,['Aaron Ogden'],PA,,['Aaron Ogden'],,,1988.53,0.0,59.09166999999999,0.0,0.0
24,['Aaron Olmsted'],CT,,,,,35.41,0.0,0.0,0.0,0.0
25,['Aaron Van Cleve'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
26,['Aaron Van Dorne'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
27,['Abbey Willing'],PA,,,,,2169.3,0.0,0.0,0.0,0.0
28,['Abel Hine'],CT,['Abel Hine'],,['Abel Hine'],,1118.47,1102.0055699999998,0.0,1.2555555555555555,0.0
29,['Abel Morse'],CT,['Abel Morse'],,,,1388.83,1388.8693,0.0,0.0,0.0
30,['Abel Patchen'],CT,['Abel Patchen'],,,,153.96,153.97915999999998,0.0,0.0,0.0
31,['Abel Tibbals'],CT,['Abel Tibbals'],,,,49.16,107.66526999999999,0.0,0.0,0.0
32,['Abgail Ellsworth'],CT,,,,,848.46,0.0,0.0,0.0,0.0
33,['Abiel Canfield'],NY,,,,,0.0,0.0,0.0,0.0,0.0
34,['Abiel Foster'],NH,['Abiel Foster'],,['Abiel Foster'],,96.03,93.53333,0.0,7.5,0.0
35,['Abiel Griswold'],CT,['Abiel Griswold'],,,,111.87,493.3708,0.0,0.0,0.0
36,['Abiel Smith'],RI,,,,,972.53,0.0,0.0,0.0,0.0
37,['Abigail Ash'],PA,,,,,198.66,0.0,0.0,0.0,0.0
38,['Abigail Ball'],NH,,,,,149.81,0.0,0.0,0.0,0.0
39,['Abigail Budd'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
40,['Abigail Bulkley'],CT,,,,,555.93,0.0,0.0,0.0,0.0
41,['Abigail Burr'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
42,['Abigail Guild'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
43,['Abigail Keyes'],CT,,,,,154.44,0.0,0.0,0.0,0.0
44,['Abigail Minis'],GA,,,,,30.130266,0.0,0.0,0.0,0.0
45,['Abigail Prime'],NH,,,,,108.28,0.0,0.0,0.0,0.0
46,['Abigail Robbins'],CT,,,,,93.19,0.0,0.0,0.0,0.0
47,['Abigail Sizer'],NY,,,,,0.0,0.0,0.0,0.0,0.0
48,['Abigail Vergereau'],NJ,,,,,0.0,0.0,0.0,0.0,0.0
49,['Abigail Vergereau'],NY,,,,,0.0,0.0,0.0,0.0,0.0
50,['Abigail Watson'],CT,,,,,2065.2,0.0,0.0,0.0,0.0
51,['Abijah Abbot'],NY,,,,,0.0,0.0,0.0,0.0,0.0
52,['Abijah Hammond'],NY,,,,,0.0,0.0,0.0,0.0,0.0
53,['Abijah Holbrook'],NY,,,,,0.0,0.0,0.0,0.0,0.0
54,['Abijah Savage'],CT,,['Habijah Savage'],,['Abijah Savage'],800.0,0.0,2721.81944,0.0,2405.75
55,['Abner Andruss'],CT,,,,,59.66,0.0,0.0,0.0,0.0
56,['Abner Butler'],RI,,,,,17.72,0.0,0.0,0.0,0.0
57,['Abner Cole'],CT,,,,['Abner Cole'],80.0,0.0,0.0,0.0,1559.13
58,['Abner Corson'],PA,['Abner Corson'],,,,60.23,60.238890000000005,0.0,0.0,0.0
59,['Abner Daggett'],RI,,,,,1525.42,0.0,0.0,0.0,0.0
60,['Abner Johnson'],CT,,,,,337.83,0.0,0.0,0.0,0.0
61,['Abner Sage'],CT,,,,,39.33,0.0,0.0,0.0,0.0
62,['Abner Whitney'],VA,,,,,196.71,0.0,0.0,0.0,0.0
63,['Abraham Barker'],RI,,,,,21.3,0.0,0.0,0.0,0.0
64,['Abraham Belknap transferred from Register'],RI,,,,,6.86,0.0,0.0,0.0,0.0
